english,name,type,dosage,disposition
URSODEOXYCHOLIC ACID,اورسودکس,کپسول,300 mg,خوراکی 
CLOTRIMAZOLE,کلوتریمازول,کرم,2 % 50 g,واژینال 
DOXYCYCLINE (AS HYCLATE),وبراکیم,کپسول,100 mg,خوراکی 
INSULIN DEGLUDEC / INSULIN ASPART,رایزودگ فلکس پن,محلول,70 [iU]/30 [iU]/1mL 3 [iU],تزریقی پرنترال
MYCOPHENOLATE MOFETIL,سلسپت,پودر,1 g/5mL 110 g,برای تهیه سوسپانسیون خوراکی
OSIMERTINIB (AS MESYLATE),مرتیسو,قرص,40 mg,خوراکی 
METHOCARBAMOL,متوکاربامول,قرص,500 mg,خوراکی 
MACITENTAN,لیراتان,قرص,10 mg,خوراکی 
TEMOCILLIN SODIUM,نگابان,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
ANTIHEMORRHOID,آنتی هموروئید,پماد,50 mg/2.75 mg/35 mg/180 mg/1g 15 g,مقعدی 
PREGABALIN,ژینکس,کپسول,100 mg,خوراکی 
TEICOPLANIN,تیکوپلانین,پودر,400 mg mg,برای تهیه محلول تزریقی پرنترال
IBUPROFEN,ایبوفین,کپسول,400 mg,حاوی مایع خوراکی
SITAGLIPTIN (AS PHOSPHATE) / METFORMIN HYDROCHLORIDE,گلیبرا,قرص,50 mg/500 mg,خوراکی 
ACETAMINOPHEN,استامین,قرص,325 mg,خوراکی 
MONTELUKAST (AS SODIUM),مونته لوکاست-حکیم,قرص,10 mg,خوراکی 
PROGESTERONE,فموژکس-آی اچ,تزریقی,50 mg/1mL 1 mL,پرنترال 
FENTANYL (AS CITRATE),فنیجکت,تزریقی,50 ug/1mL 10 mL,پرنترال 
ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE,زاگرو-پین,قرص,300 mg/15 mg/15 mg,خوراکی 
FLUDROCORTISONE ACETATE,فولدوریکس,قرص,0.1 mg,خوراکی 
AMLODIPINE (AS BESILATE),آنژیوواسک,قرص,5 mg,خوراکی 
FERRIC CARBOXYMALTOSE,ردوکسیفر,تزریقی,50 mg/1mL 10 mL,پرنترال 
SULFASALAZINE,سالاس,قرص,500 mg,خوراکی 
LIPID INFUSION 10% (2),اینترالیپید 10%,محلول,100 mg/22 mg/12 mg/1mL 500 mL,تزریقی داخل وریدی
TEMOZOLOMIDE,تمودال,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی داخل وریدی
TELMISARTAN,میکاردیمد,قرص,20 mg,خوراکی 
NITROFURAZONE,نیتروفورازون-ناژو,کرم,0.2 % 30 g,موضعی 
FLUOXETINE (AS HYDROCHLORIDE),فلوکساوا,کپسول,20 mg,خوراکی 
CICLOSPORIN,کانیمونه ام ای,کپسول,25 mg,حاوی مایع خوراکی
CARBAMAZEPINE,تگاتارد,قرص,400 mg,پیوسته رهش خوراکی
BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,بیسامین,قرص,120 mg,خوراکی 
PAMIDRONATE DISODIUM,پامیدیا,محلول,9 mg/1mL 10 mL,غلیظ تزریقی پرنترال
VITAMIN B6,ویبسیکس,تزریقی,100 mg/1mL 3 mL,پرنترال 
LIDOCAINE HYDROCHLORIDE,لیدوکائین,تزریقی,2 % 5 mL,پرنترال 
ANTIHISTAMINE DECONGESTANT (2),هیستاپرل,کپسول,4 mg/10 mg,حاوی مایع خوراکی
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,تیدی فن,کپسول,325 mg/40 mg/200 mg,خوراکی 
EZETIMIBE / ROSUVASTATIN (AS CALCIUM),ازستاتین,قرص,10 mg/20 mg,خوراکی 
MEBEVERINE HYDROCHLORIDE,مبورین,کپسول,200 mg,پیوسته رهش خوراکی
RIVASTIGMINE (AS HYDROGEN TARTRATE),ریواستیگمین,کپسول,4.5 mg,خوراکی 
AZELASTINE HYDROCHLORIDE / FLUTICASONE PROPIONATE,آزمیکس- اف,اسپری,137 ug/50 ug/1 {Puff} 120 mL,با دوز اندازه گیری شده از راه بینی
TACROLIMUS,ساپروتاک,محلول,5 mg/1mL mg,غلیظ تزریقی پرنترال
DICLOFENAC DIETHYLAMMONIUM,دیکلوفناک- ناژو,ژل,1 % 60 g,موضعی 
ESOMEPRAZOLE,اس امپرازول,,40 mg,کپسول انتریک کوتد خوراکی
DESMOPRESSIN ACETATE,دسموپرسین,اسپری,100 ug/1mL 5 mL,از راه بینی
BIPERIDEN LACTATE,آکینیدیک,تزریقی,5 mg/1mL mL,پرنترال 
ACETAMINOPHEN / OXYCODONE HYDROCHLORIDE,لنیتون پلاس,قرص,325 mg/10 mg,خوراکی 
APIXABAN,اپینکسا,قرص,5 mg,خوراکی 
DALTEPARIN SODIUM,فراگمین,تزریقی,25000 [iU]/1mL 0.2 [iU],پرنترال 
USTEKINUMAB,استلارا,محلول,90 mg/1mL 1 mg,تزریقی پرنترال
ESCITALOPRAM (AS OXALATE),اس سیتاور,قرص,10 mg,خوراکی 
ACICLOVIR,آسیکلوویر- ناژو,کرم,5 % 10 g,موضعی 
MEBEVERINE HYDROCHLORIDE,مبورین,قرص,135 mg,خوراکی 
TRAMADOL HYDROCHLORIDE,ترامادل,قرص,100 mg,پیوسته رهش خوراکی
KETOTIFEN (AS FUMARATE),برونتیف,شربت,1 mg/5mL 120 mL,خوراکی 
LACTULOSE,لاکتولوز-پاک دارو,شربت,10 g/15mL 240 mL,خوراکی 
PROPRANOLOL HYDROCHLORIDE,پرانول,قرص,40 mg,خوراکی 
DICLOFENAC SODIUM,بایوفناک,"محلول،",0.1 % 5 mL,قطره چشمی
CIPROFLOXACIN (AS HYDROCHLORIDE),سیپروفلوکساسین-ثنامد,قرص,500 mg,خوراکی 
ELTROMBOPAG (AS OLAMINE),تیپی اورال,قرص,25 mg,خوراکی 
MINOCYCLINE (AS HYDROCHLORIDE),میندروکس,کپسول,50 mg,خوراکی 
ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE,آلومینیوم/منیزیم-نیکسادا,سوسپانسیون,225 mg/200 mg/5 mL 240 mL,خوراکی 
METFORMIN HYDROCHLORIDE,متفورمین هگزال,قرص,1000 mg,خوراکی 
MELPHALAN (AS HYDROCHLORIDE),ملفالان,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
ARIPIPRAZOLE,آریپیپرازول,قرص,10 mg,خوراکی 
PIROXICAM,لوپیروکس,تزریقی,20 mg/1mL mg,پرنترال 
NITROGLYCERIN,نیترال,تزریقی,5 mg/1mL 2 mL,پرنترال 
FAMOTIDINE,فاموتیدین,پودر,40 mg/5mL 100 g,برای تهیه سوسپانسیون خوراکی
AMLODIPINE (AS BESILATE) / BISOPROLOL FUMARATE,سلویکورد,قرص,5 mg/5 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,قرص,250 mg,خوراکی 
NAPROXEN,ناپروکسن-ناژو,قرص,500 mg,انتریک کوتد خوراکی
MONTELUKAST (AS SODIUM),مونته کیم,قرص,10 mg,خوراکی 
FUROSEMIDE,فوروزماید,قرص,40 mg,خوراکی 
DIMETHYL FUMARATE,میلوبایوکس,کپسول,240 mg,انتریک کوتد خوراکی
VONOPRAZAN (AS FUMARATE),وپرازان,قرص,20 mg,خوراکی 
SODIUM CHLORIDE,سدیم کلراید,محلول,0.9 % 500 mL,تزریقی پرنترال
RISPERIDONE,ریسپریدون,قرص,4 mg,خوراکی 
IFOSFAMIDE,آیفو-سل,محلول,40 mg/1mL 25 mg,تزریقی پرنترال
CYTARABINE,سایتو,محلول,50 mg/1mL 20 mg,تزریقی پرنترال
TRANEXAMIC ACID,ترانگزامیک اسید,کپسول,250 mg,خوراکی 
POVIDONE IODINE,تولیدین,محلول,10 % 250 mL,موضعی 
DEFERASIROX,دفرازیت,قرص,360 mg,خوراکی 
GADOTERATE MEGLUMINE,دوتاسکن,تزریقی,376.9 mg/1mL 15 mL,پرنترال 
INDAPAMIDE,راندوترا,قرص,1.5 mg,پیوسته رهش خوراکی
CETIRIZINE HYDROCHLORIDE,ستیریزین,,10 mg,قرص خوراکی
QUETIAPINE (AS FUMARATE),سایکوئل,قرص,25 mg,خوراکی 
INDOMETHACIN,ایندومتاسین-ناژو,شیاف,50 mg g,مقعدی 
DICLOFENAC SODIUM,دیکلوفناک-جالینوس,قرص,50 mg,انتریک کوتد خوراکی
VITAMIN B COMPLEX,بویکام,تزریقی,5 mg/2 mg/2 mg/3 mg/20 mg/1mL 2 mL,پرنترال 
PALBOCICLIB,پالبوبرست,کپسول,100 mg,خوراکی 
LACTULOSE,لاکتولوز,شربت,10 g/15mL 250 mL,خوراکی 
IBUPROFEN / FAMOTIDINE,فامیپروفن,قرص,800 mg/26.6 mg,خوراکی 
FAMOTIDINE,مداتیدین,قرص,20 mg,خوراکی 
POVIDONE IODINE,پوویدون آیداین- دارو درمان,محلول,10 % 60 mL,موضعی 
INDOMETHACIN,ایندومتاسین بهسا,شیاف,50 mg,مقعدی 
DOMPERIDONE,دمپریگان,سوسپانسیون,1 mg/1 mL 120 mL,خوراکی 
REPAGLINIDE,رپاگلیناید,قرص,1 mg,خوراکی 
TRIAMCINOLONE ACETONIDE,کورت مِل,تزریقی,40 mg/1mL 1 mg,پرنترال 
MOMETASONE FUROATE,مومتومکس,"اسپری،",0.05 % 20 mL,سوسپانسیون از راه بینی
PEDIATRIC GRIPPE,پدیزان,شربت,0.67 mg/10 mg/5mL 120 mL,خوراکی 
CHORIONIC GONADOTROPHIN (HUMAN),کارما-اچ سی جی,پودر,5000 [iU] [iU],برای تهیه محلول تزریقی پرنترال
LEVODOPA / CARBIDOPA / ENTACAPONE,اکسریکال,قرص,50 mg/12.5 mg/200 mg,خوراکی 
THEOPHYLLINE,برنکورتارد,قرص,200 mg,پیوسته رهش خوراکی
BETAMETHASONE (AS VALERATE),بتاکورتال,پماد,0.1 % 15 g,موضعی 
RISPERIDONE,ریسبریکس,قرص,1 mg,خوراکی 
IOHEXOL,امنی پک,تزریقی,240 mg/1mL 50 mL,پرنترال 
CITALOPRAM,بایوکسال,قرص,20 mg,خوراکی 
BROMHEXINE HYDROCHLORIDE,موکولین,قرص,8 mg,خوراکی 
BETAMETHASONE (AS VALERATE),بتامتازون,پماد,0.1 % 15 g,موضعی 
POVIDONE IODINE,بهسادین,محلول,10 % 250 mL,موضعی 
ADULT COLD PREPARATIONS (1-3),ژلوفن-سینوس,کپسول,200 mg/5 mg,حاوی مایع خوراکی
VITAMIN D3,د-ویتین,کپسول,50000 [iU],حاوی مایع خوراکی
EMPAGLIFLOZIN / LINAGLIPTIN,آوانو,قرص,10 mg/5 mg,خوراکی 
METOPROLOL TARTRATE,متوپرولول تارترات,قرص,50 mg,خوراکی 
SACUBITRIL / VALSARTAN,زیوالس,قرص,49 mg/51 mg,خوراکی 
SODIUM BENZOATE,سدیم بنزوات,تزریقی,200 mg/1mL 10 mg,پرنترال 
LINAGLIPTIN,لناکیم,قرص,5 mg,خوراکی 
GLIBENCLAMIDE,گلی بنکلامید-حکیم,قرص,5 mg,خوراکی 
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,ملیجنت-ام,قرص,500 mg/2.5 mg,خوراکی 
ABIRATERONE ACETATE,ابیراترون استات,قرص,250 mg,خوراکی 
LORATADINE,لوراتادین,قرص,10 mg,خوراکی 
LEVETIRACETAM,لویستام,محلول,100 mg/1 mL 120 mL,خوراکی 
AMLODIPINE (AS BESILATE),آملودیپین آریا,قرص,5 mg,خوراکی 
DESLORATADINE,دس لوراتادین,شربت,2.5 mg/5 mL 120 mg,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),دالازان,کرم,2 % 40 g,واژینال 
MYCOPHENOLATE MOFETIL,سوپریمون,قرص,500 mg,خوراکی 
HYDRALAZINE HYDROCHLORIDE,هیدرالازین,محلول,20 mg 1 mg,غلیظ تزریقی پرنترال
DONEPEZIL HYDROCHLORIDE,یاسنال,قرص,5 mg,خوراکی 
ALENDRONATE (AS SODIUM),فوزاکتو,قرص,70 mg,جوشان خوراکی
TADALAFIL,تادالافیل,قرص,2.5 mg,خوراکی 
LISDEXAMFETAMINE MESILATE,ویاس,کپسول,20 mg,خوراکی 
KETOCONAZOLE,اسکیزول,شامپو,2 % 100 mL,موضعی 
CARVEDILOL,کارودیلول-شفا,قرص,6.25 mg,خوراکی 
PRIMIDONE,لیسکانتین,سوسپانسیون,125 mg/5mL 250 mL,خوراکی 
INSULIN BIPHASIC LISPRO 25/75,هومالوگ میکس 25,سوسپانسیون,100 [iU]/1mL 3 mL,تزریقی پرنترال
MENOTROPINS,کارما-اچ ام جی,پودر,75 [iU]/75 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
FLUTICASONE PROPIONATE,فلوتیکومکس,اسپری,50 ug/1{Puff} 200 mL,از راه بینی
ENZALUTAMIDE,تنزالا,قرص,80 mg,خوراکی 
BUDESONIDE / FORMOTEROL FUMARATE,روهیلر روکورت (با دستگاه ),کپسول,320 ug/9 ug,استنشاقی 
ESOMEPRAZOLE (AS MAGNESIUM),کیموبلاک,گرانول,5 mg g,انتریک کوتد خوراکی
AMLODIPINE (AS BESILATE),آملودیپین,قرص,5 mg,خوراکی 
SACUBITRIL / VALSARTAN,انترسکور,قرص,49 mg/51 mg,خوراکی 
PREGABALIN,پرگاسول,کپسول,100 mg,خوراکی 
PANITUMUMAB,وکتیبیکس,محلول,20 mg/1mL 5 mg,غلیظ تزریقی پرنترال
BISOPROLOL FUMARATE,بیزوپکس,قرص,5 mg,خوراکی 
CEFAZOLIN,سفازولین,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
AFLIBERCEPT,تیالیا,تزریقی,40 mg/1mL 0.1 mg,پرنترال 
EMPAGLIFLOZIN,جاردیپا,قرص,25 mg,خوراکی 
METHADONE HYDROCHLORIDE,متادون,محلول,25 mg/5 mL 250 mL,خوراکی 
BUPROPION HYDROCHLORIDE,اسموپیون,قرص,75 mg,خوراکی 
MESALAZINE,مزالوور,کپسول,500 mg,پیوسته رهش خوراکی
CEFAZOLIN,سفازولین-اکسیر,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
PREGABALIN,نوریکا,کپسول,150 mg,خوراکی 
FLUOXETINE (AS HYDROCHLORIDE),فلوکسیبکس,کپسول,10 mg,خوراکی 
GABAPENTIN,نوروپنتین,کپسول,100 mg,خوراکی 
RIVAROXABAN,ریواروکسابان,قرص,20 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),آساور,قرص,81 mg,انتریک کوتد خوراکی
ACETYLCYSTEINE,موکوفلوگان,پودر,600 mg g,خوراکی 
SILDENAFIL (AS CITRATE),سیلد-آپ,قرص,100 mg,خوراکی 
MEMANTINE HYDROCHLORIDE,ممانتین-حکیم,قرص,5 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتونیل,کپسول,40 mg,انتریک کوتد خوراکی
AMIKACIN (AS SULFATE),آمیکاسین,تزریقی,250 mg/1mL 2 mL,پرنترال 
ACETYLCYSTEINE,اسلیت,قرص,600 mg,جوشان خوراکی
RIZATRIPTAN (AS BENZOATE),ریزاتان,قرص,10 mg,خوراکی 
PALBOCICLIB,پالبورین,کپسول,125 mg,خوراکی 
CALAMINE,کالامین-عماد,,8 % 30 g,کرم موضعی
ONDANSETRON (AS HYDROCHLORIDE),ومترال,تزریقی,2 mg/1 mL 4 mL,پرنترال 
METHOCARBAMOL,روباتکس,قرص,500 mg,خوراکی 
OXYBUTYNIN HYDROCHLORIDE,اکسی بوتینین,قرص,5 mg,خوراکی 
RISPERIDONE,اویتریت,محلول,1 mg/1mL 100 mL,خوراکی 
THIOPENTAL SODIUM,تیوپنتال پن فارما,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
IBUPROFEN (AS LYSINE),ایبایوفن-ال,قرص,400 mg,خوراکی 
ACETAMINOPHEN,استامینوفن بهسا,"محلول،",100 mg/1mL 15 mL,قطره خوراکی
THIOPENTAL SODIUM,تیوپنتال پن فارما,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
ISOTRETINOIN,نورم اسکین,کپسول,10 mg,حاوی مایع خوراکی
FILGRASTIM,فیلگرازی,تزریقی,600 ug/1mL 0.5 ug,پرنترال 
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE,لوزن-اچ,قرص,50 mg/12.5 mg,خوراکی 
FINERENONE,کینرین,قرص,20 mg,خوراکی 
RISPERIDONE,ریسپردال کنستا,پودر,25 mg mg,برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال
METOCLOPRAMIDE HYDROCHLORIDE,متوکلوپرامید,قرص,10 mg,خوراکی 
DASATINIB,داسازا,قرص,50 mg,خوراکی 
RIVAROXABAN,زاریوان,قرص,2.5 mg,خوراکی 
CLONAZEPAM,کلونازپام,قرص,2 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین,قرص,10 mg,خوراکی 
ACETAMINOPHEN,مینوفن,محلول,120 mg/5mL 60 mL,خوراکی 
TERAZOSIN,ترازوسین,قرص,5 mg,خوراکی 
ZONISAMIDE,بایوساماید,کپسول,50 mg,خوراکی 
LACOSAMIDE,یونیماید,قرص,50 mg,خوراکی 
AFLIBERCEPT,آیلیا,تزریقی,40 mg/1mL 0.1 mg,پرنترال 
VALSARTAN,والزودک,قرص,160 mg,خوراکی 
KETOTIFEN (AS FUMARATE),کتوتیفن-عبیدی,شربت,1 mg/5mL 120 mL,خوراکی 
NALIDIXIC ACID,نالیدیکسیک اسید,سوسپانسیون,300 mg/5mL 120 mm,خوراکی 
TRIPLE SULFA,تریپل سولفا-عماد,کرم,3.42 %/2.86 %/3.7 % 78 g,واژینال 
CINACALCET (AS HYDROCHLORIDE),پاراکلست,قرص,30 mg,خوراکی 
DICLOFENAC POTASSIUM,آویفناک,قرص,50 mg,خوراکی 
ASA / ATORVASTATIN (AS CALCIUM) / ENALAPRIL MALEATE / HYDROCHLOROTHIAZIDE,پلی پیل-ای,قرص,81 mg/20 mg/5 mg/12.5 mg,خوراکی 
EMPAGLIFLOZIN,جاردیپا,قرص,10 mg,خوراکی 
ISOPROTERENOL HYDROCHLORIDE,ایزولین,تزریقی,2 mg/1mL 1 mg,پرنترال 
ISOFLURANE,ایزیفران,اینهالر,100 % 250 mL,استنشاقی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,سینوریپا,قرص,12.5 mg/500 mg,خوراکی 
BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE / BETAMETHASONE ACETATE),بتامتازون ال آ,سوسپانسیون,3 mg/3 mg/1mL mg,تزریقی پیوسته رهش پرنترال
SODIUM BENZOATE,سدیم بنزوات,قرص,500 mg,خوراکی 
DIPHENHYDRAMINE HYDROCHLORIDE,دیفن هیدرامین,محلول,12.5 mg/5mL 60 mL,خوراکی 
IMATINIB (AS MESYLATE),ایماتینیب اکویدا,کپسول,400 mg,خوراکی 
HYOSCINE-N-BUTYL BROMIDE,هیوسین-ان-بوتیل بروماید,تزریقی,20 mg/1mL mL,پرنترال 
DEFERASIROX,تالاجید,قرص,360 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM),بی‌دی‌گرد,پودر,40 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
ACETAMINOPHEN,استامینوفن,شیاف,125 mg,مقعدی 
RIVAROXABAN,زالربان,قرص,10 mg,خوراکی 
INTERFERON GAMMA-1B,گامارک,محلول,100 ug/0.5mL ug,تزریقی پرنترال
MONOBENZONE,منوبنزون-بهوزان,کرم,20 % 30 g,موضعی 
BOTULINUM A TOXIN,دیسپورت,پودر,300 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
METRONIDAZOLE,متروماکس,قرص,250 mg,خوراکی 
IBUPROFEN (AS LYSINE),تدافن لیزین,قرص,400 mg,خوراکی 
CONJUGATED ESTROGENS,پریکوئین,قرص,0.625 mg,خوراکی 
DORZOLAMIDE (AS HYDROCHLORIDE),دورزولامید,"محلول،",2 % 5 mL,قطره چشمی
FLUDARABINE PHOSPHATE,داربینا,محلول,25 mg/1mL 2 mg,تزریقی پرنترال
FINERENONE,فینرنون,قرص,10 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک سدیم,قرص,25 mg,انتریک کوتد خوراکی
ARTIFICIAL TEARS (HYALURONATE SODIUM),آرتیپیک ادونسد,"محلول،",0.15 % 0.5 mL,قطره چشمی
ANTI-D IMMUNOGLOBULIN,روفیلاک,محلول,300 ug/2mL ug,تزریقی عضلانی
IMIPENEM / CILASTATIN,ایمی پنم/سیلاستاتین,پودر,500 mg/500 mg mg,برای تهیه محلول تزریقی پرنترال
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,پگلیمت,قرص,12.5 mg/1000 mg,خوراکی 
ONDANSETRON (AS HYDROCHLORIDE),توشن,تزریقی,2 mg/1 mL 2 mg,پرنترال 
TERAZOSIN,ترازوسین,قرص,2 mg,خوراکی 
PERMETHRIN,پرمترین-ناژو,شامپو,1 % 60 mL,موضعی 
OXALIPLATIN,الوگزاتین,محلول,5 mg/1mL 20 mg,غلیظ تزریقی پرنترال
VITAMIN B1 (THIAMINE),ویتامین ب1-شفا,قرص,100 mg,خوراکی 
CLOTRIMAZOLE,آفی تریمازول,کرم,1 % 50 g,واژینال 
EMPAGLIFLOZIN,امپاگلیفلوزین,قرص,10 mg,خوراکی 
CEFIXIME,سفیکسیم,پودر,100 mg/5 mL 100 mL,برای تهیه سوسپانسیون خوراکی
BISOPROLOL FUMARATE,زپرول,قرص,5 mg,خوراکی 
PIOGLITAZONE,پی توز,,15 mg,قرص خوراکی
SPIRONOLACTONE,اسپیداکتون,قرص,25 mg,خوراکی 
VALSARTAN,واساران,قرص,40 mg,خوراکی 
LATANOPROST,لاتاپروست,"محلول،",50 ug/1mL 2.5 mL,قطره چشمی
FENOFIBRATE,فنوفیبرات,کپسول,100 mg,خوراکی 
ONDANSETRON (AS HYDROCHLORIDE),انداستوور,قرص,4 mg,خوراکی 
PIOGLITAZONE,گلوتازون,قرص,15 mg,خوراکی 
PRAZOSIN,پرازوسین,قرص,5 mg,خوراکی 
ACICLOVIR,کلوویراز,سوسپانسیون,200 mg/5mL 120 mL,خوراکی 
LEVOFLOXACIN,ثاموکساسین,محلول,5 mg/1mL 100 mL,تزریقی داخل وریدی
DESMOPRESSIN ACETATE,دسمورین,اسپری,100 ug/1mL 5 mL,از راه بینی
POVIDONE IODINE,پوویدون آیداین,محلول,10 % 250 mL,موضعی 
CLOTRIMAZOLE,کلوتریمازول بهسا,کرم,2 % 20 g,واژینال 
OXCARBAZEPINE,ایکتاز,قرص,150 mg,خوراکی 
METHADONE HYDROCHLORIDE,متادون,تزریقی,5 mg/1mL 1 mL,پرنترال 
MIRTAZAPINE,تازادپ,قرص,7.5 mg,خوراکی 
NOREPINEPHRINE (AS BITARTRATE),نوراجس,محلول,1 mg/1mL 4 mL,غلیظ تزریقی پرنترال
LOSARTAN POTASSIUM,کاردیوسان,قرص,25 mg,خوراکی 
LANSOPRAZOLE,لانسوپرازول-ثنامد,کپسول,15 mg,انتریک کوتد خوراکی
CITALOPRAM,سیتالوتد,قرص,20 mg,خوراکی 
POVIDONE IODINE,پوویدون آیداین,محلول,10 % 250 mL,موضعی 
OMALIZUMAB,زولیر,محلول,150 mg/1mL 1 mg,تزریقی پرنترال
PENTOXIFYLLINE,پنتوکسی فیلین,قرص,400 mg,پیوسته رهش خوراکی
DONEPEZIL HYDROCHLORIDE,آلزاکیم,قرص,5 mg,خوراکی 
MEBEVERINE HYDROCHLORIDE,کولوفین,کپسول,200 mg,پیوسته رهش خوراکی
ERYTHROMYCIN,اریترولیدین,پماد,0.5 % 3 g,چشمی 
ACETAMINOPHEN / CODEINE PHOSPHATE,پارانوپین,قرص,300 mg/20 mg,خوراکی 
NITISINONE,نیتیزینون,کپسول,10 mg,خوراکی 
PRAMIPEXOLE (AS DIHYDROCHLORIDE),پراسول,قرص,0.18 mg,خوراکی 
LEUPRORELIN ACETATE,لوپرومر,پودر,3.75 mg,برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال
VALSARTAN,واساران,قرص,80 mg,خوراکی 
ITRACONAZOLE,ایتراکونازول,کپسول,100 mg,خوراکی 
METFORMIN HYDROCHLORIDE,مهبامت,قرص,1000 mg,پیوسته رهش خوراکی
ALBUMIN (HUMAN),آلبورل,محلول,20 % 50 g,تزریقی پرنترال
BISOPROLOL FUMARATE,بیسوتا,قرص,10 mg,خوراکی 
RIVASTIGMINE (AS HYDROGEN TARTRATE),ریواکسون,کپسول,3 mg,خوراکی 
RIVAROXABAN,آکسابین,قرص,10 mg,خوراکی 
VALPROATE SODIUM,اپی وال,قرص,333 mg/145 mg,پیوسته رهش خوراکی
KETAMINE (AS HYDROCHLORIDE),کتامین پن فارما,تزریقی,50 mg/1mL 10 mg,پرنترال 
LIDOCAINE / PRILOCAINE,ماینولا,کرم,2.5 %/2.5 % 15 g,موضعی 
IMIGLUCERASE,سرزایم,پودر,400 [iU] mL,برای تهیه محلول تزریقی پرنترال
METHADONE HYDROCHLORIDE,متادون,قرص,5 mg,خوراکی 
METFORMIN HYDROCHLORIDE,متفورمین-شفا,قرص,500 mg,خوراکی 
AMLODIPINE (AS BESILATE) / VALSARTAN,پریلکس,قرص,5 mg/160 mg,خوراکی 
ACETYLCYSTEINE,موستیل,قرص,600 mg,جوشان خوراکی
TICAGRELOR,تیکرل,قرص,90 mg,خوراکی 
MONTELUKAST (AS SODIUM),مونته لوکاست,قرص,10 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),ریپیرین,قرص,80 mg,انتریک کوتد خوراکی
PIPERACILLIN (AS SODIUM) / TAZOBACTAM (AS SODIUM),پیپراکتام,پودر,3 g/0.375 g mg,برای تهیه محلول تزریقی پرنترال
TIOTROPIUM (AS BROMIDE),تیوتوریوا,کپسول,18 ug,استنشاقی 
ABIRATERONE ACETATE,ویوابی,قرص,250 mg,خوراکی 
MELOXICAM,ملوکاکس,قرص,15 mg,خوراکی 
ETANERCEPT,آلتبرل,محلول,25 mg/0.5mL mg,تزریقی زیر جلدی
LEVODOPA / BENSERAZIDE,لووپارکین,قرص,100 mg/25 mg,خوراکی 
CO-AMOXICLAV,کوآموکسی‌کلاو,قرص,250 mg/125 mg,خوراکی 
METHADONE HYDROCHLORIDE,متادون,قرص,5 mg,خوراکی 
ACETAMINOPHEN,استامینوفن سها,قرص,500 mg,خوراکی 
DAPOXETINE (AS HYDROCHLORIDE),داپیکو,قرص,60 mg,خوراکی 
LENALIDOMIDE,انلیدو,کپسول,15 mg,خوراکی 
HYDROCORTISONE (AS SODIUM SUCCINATE),آفاتیزون,پودر,100 mg mg,برای تهیه محلول تزریقی پرنترال
LINEZOLID,اکساتنت,قرص,600 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM),زایگوسیس,پودر,40 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
MEBEVERINE HYDROCHLORIDE,مب اکتو,قرص,135 mg,خوراکی 
DICLOFENAC DIETHYLAMMONIUM,ژلیروکس,ژل,1 % 60 g,موضعی 
NYSTATIN,نیستاتین,پودر,100000 [iU]/1mL g,برای تهیه سوسپانسیون خوراکی
LEVONORGESTREL,لونژیل,قرص,750 ug,خوراکی 
VALSARTAN / HYDROCHLOROTHIAZIDE,والزودک-اچ سی تی,قرص,160 mg/25 mg,خوراکی 
IBRUTINIB,ایبرونب,قرص,420 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,قرص,500 mg,واژینال 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین-حکیم,قرص,10 mg,خوراکی 
NINTEDANIB ESILATE,افنیب,کپسول,150 mg,حاوی مایع خوراکی
